cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
NTP-newtaipei-idx133-0-2,newtaipei,NTP,C,residential,1.54,1.0,8,1.315,True,0.067,0.997,3.0,False
NTP-newtaipei-idx672-0-2,newtaipei,NTP,C,residential,1.58,1.0,8,1.315,True,0.065,0.999,6.0,False
NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,1.0,13,1.126,True,0.174,0.998,0.0,False
NTP-newtaipei-idx133-0-2,newtaipei,NTP,C,residential,1.54,1.0,18,1.267,True,0.156,1.004,1.0,False
NTP-newtaipei-idx672-0-2,newtaipei,NTP,C,residential,1.58,1.0,19,1.268,True,0.161,1.002,3.0,False
NTP-newtaipei-idx12775-0-0,newtaipei,NTP,C,commercial,1.5,1.0,22,1.247,True,0.198,0.999,0.0,False
NTP-newtaipei-idx3820-0-0,newtaipei,NTP,C,commercial,1.5,1.0,22,1.235,True,0.2,1.0,0.0,False
NTP-newtaipei-idx11985-0-0,newtaipei,NTP,C,commercial,1.56,1.0,23,1.23,True,0.203,1.0,2.0,False
NTP-newtaipei-idx12775-0-0,newtaipei,NTP,C,commercial,1.5,1.0,38,1.101,True,0.39,0.998,0.0,False
NTP-newtaipei-idx3820-0-0,newtaipei,NTP,C,commercial,1.5,1.0,38,1.089,True,0.394,0.997,0.0,False
NTP-newtaipei-idx11985-0-0,newtaipei,NTP,C,commercial,1.56,1.0,39,1.085,True,0.39,1.004,0.0,False
NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,1.0,42,1.048,True,0.484,1.001,0.0,False
NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,1.0,63,0.631,False,1.006,2.03,0.0,False
NYC-nyc-46079-0-1,nyc,NYC,A,residential,1.676,1.0,8,1.32,True,0.061,0.999,12.0,False
NYC-nyc-110605-0-2,nyc,NYC,A,residential,1.707,1.0,8,1.32,True,0.06,0.997,12.0,False
NYC-nyc-199805-0-0,nyc,NYC,A,residential,2.073,1.0,10,1.316,True,0.062,1.004,15.0,False
NYC-nyc-27695-0-3,nyc,NYC,A,residential,2.377,1.0,12,1.323,True,0.064,1.003,20.0,True
NYC-nyc-17655-0-0,nyc,NYC,A,residential,2.408,1.0,12,1.324,True,0.063,1.001,20.0,True
NYC-nyc-214464-0-0,nyc,NYC,A,residential,2.56,1.0,13,1.324,True,0.064,1.002,20.0,True
NYC-nyc-59808-0-1,nyc,NYC,A,residential,3.048,1.0,15,1.322,True,0.062,0.986,20.0,True
NYC-nyc-20131-0-2,nyc,NYC,A,residential,3.17,1.0,16,1.325,True,0.064,1.0,20.0,True
NYC-nyc-9648-0-0,nyc,NYC,A,residential,3.719,1.0,19,1.321,True,0.065,0.999,20.0,True
NYC-nyc-46079-0-1,nyc,NYC,A,residential,1.676,1.0,20,1.256,True,0.16,1.001,6.0,False
NYC-nyc-110605-0-2,nyc,NYC,A,residential,1.707,1.0,20,1.262,True,0.157,1.002,6.0,False
NYC-nyc-199805-0-0,nyc,NYC,A,residential,2.073,1.0,25,1.241,True,0.164,1.001,8.0,False
NYC-nyc-62758-0-0,nyc,NYC,A,residential,5.06,1.0,25,1.295,True,0.064,1.0,20.0,True
NYC-nyc-31649-0-0,nyc,NYC,A,commercial,1.859,1.0,28,1.195,True,0.213,0.995,5.0,False
NYC-nyc-27695-0-3,nyc,NYC,A,residential,2.377,1.0,28,1.265,True,0.156,0.998,15.0,False
NYC-nyc-17655-0-0,nyc,NYC,A,residential,2.408,1.0,29,1.26,True,0.16,0.999,15.0,False
NYC-nyc-214464-0-0,nyc,NYC,A,residential,2.56,1.0,31,1.262,True,0.161,1.004,18.0,False
NYC-nyc-98749-0-2,nyc,NYC,A,commercial,2.103,1.0,32,1.203,True,0.213,0.999,8.0,False
NYC-nyc-267383-0-0,nyc,NYC,A,commercial,2.347,1.0,35,1.229,True,0.203,0.997,12.0,False
NYC-nyc-59808-0-1,nyc,NYC,A,residential,3.048,1.0,37,1.246,True,0.163,0.996,15.0,False
NYC-nyc-20131-0-2,nyc,NYC,A,residential,3.17,1.0,38,1.246,True,0.161,1.004,15.0,False
NYC-nyc-9648-0-0,nyc,NYC,A,residential,3.719,1.0,45,1.221,True,0.166,1.0,15.0,False
NYC-nyc-31649-0-0,nyc,NYC,A,commercial,1.859,1.0,46,1.029,True,0.409,1.0,0.0,False
NYC-nyc-98749-0-2,nyc,NYC,A,commercial,2.103,1.0,53,1.053,True,0.404,0.996,0.0,False
NYC-nyc-267383-0-0,nyc,NYC,A,commercial,2.347,1.0,59,1.137,True,0.371,1.006,2.0,False
NYC-nyc-62758-0-0,nyc,NYC,A,residential,5.06,1.0,61,1.167,True,0.172,1.001,12.0,False
NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,1.0,4,0.088,True,0.979,1.0,20.0,True
NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,1.0,4,0.094,True,0.875,1.0,20.0,True
NYC-nyc-26803-0-0,nyc,NYC,C,residential,1.158,1.0,6,1.293,True,0.068,0.986,0.0,False
NYC-nyc-49961-0-0,nyc,NYC,C,residential,1.28,1.0,6,1.304,True,0.061,0.986,0.0,False
NYC-nyc-72803-0-0,nyc,NYC,C,residential,1.311,1.0,7,1.291,True,0.07,1.002,0.0,False
NYC-nyc-42824-0-0,nyc,NYC,C,residential,1.311,1.0,7,1.292,True,0.07,1.0,0.0,False
NYC-nyc-182996-0-0,nyc,NYC,C,residential,1.585,1.0,8,1.319,True,0.064,0.999,6.0,False
