combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,ood_flags,vbar,base_pass,qr_star,above_upper
DC-088,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,119.5,23.996,1.0,qp>60,0.952,True,6.0,False
DC-089,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,149.4,30.0,1.0,qp>60,0.762,True,4.0,False
DC-000,NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,50.0,13.7,17.979,1.0,W<W_min,0.02,False,0.0,False
DC-003,NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,50.0,15.4,18.054,1.0,W<W_min,0.023,False,0.0,False
DC-001,NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,50.0,18.3,24.016,1.0,W<W_min,0.01,False,0.0,False
DC-004,NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,50.0,20.5,24.033,1.0,W<W_min,0.013,False,0.0,False
DC-002,NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,50.0,22.9,30.052,1.0,W<W_min,0.005,False,0.0,False
DC-005,NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,50.0,25.6,30.012,1.0,W<W_min,0.007,False,0.0,False
DC-006,NYC-nyc-46079-0-1,nyc,NYC,A,residential,1.676,50.0,30.2,18.019,1.0,,1.18,True,4.0,False
DC-009,NYC-nyc-110605-0-2,nyc,NYC,A,residential,1.707,50.0,30.7,17.985,1.0,,1.178,True,3.0,False
DC-007,NYC-nyc-46079-0-1,nyc,NYC,A,residential,1.676,50.0,40.2,23.986,1.0,,1.045,True,0.0,False
DC-010,NYC-nyc-110605-0-2,nyc,NYC,A,residential,1.707,50.0,41.0,24.019,1.0,,1.04,True,1.0,False
DC-012,NYC-nyc-17655-0-0,nyc,NYC,A,residential,2.408,50.0,43.3,17.982,1.0,,1.201,True,10.0,False
DC-008,NYC-nyc-46079-0-1,nyc,NYC,A,residential,1.676,50.0,50.3,30.012,1.0,,0.804,True,0.0,False
DC-011,NYC-nyc-110605-0-2,nyc,NYC,A,residential,1.707,50.0,51.2,29.994,1.0,,0.842,True,0.0,False
DC-013,NYC-nyc-17655-0-0,nyc,NYC,A,residential,2.408,50.0,57.8,24.003,1.0,,1.154,True,3.0,False
DC-015,NYC-nyc-9648-0-0,nyc,NYC,A,residential,3.719,50.0,66.9,17.989,1.0,qp>60,1.137,True,8.0,False
DC-014,NYC-nyc-17655-0-0,nyc,NYC,A,residential,2.408,50.0,72.2,29.983,1.0,qp>60,1.08,True,0.0,False
DC-016,NYC-nyc-9648-0-0,nyc,NYC,A,residential,3.719,50.0,89.3,24.012,1.0,qp>60,0.967,True,6.0,False
DC-017,NYC-nyc-9648-0-0,nyc,NYC,A,residential,3.719,50.0,111.6,30.008,1.0,qp>60,0.865,True,0.0,False
DC-090,SEA-seattle-5441957-0-1,seattle,SEA,C,commercial,1.168,50.0,21.0,17.979,1.0,W<W_min,1.13,True,0.0,False
DC-093,SEA-seattle-5439807-0-1,seattle,SEA,C,residential,1.524,50.0,27.4,17.979,1.0,W<W_min,1.182,True,0.0,False
DC-091,SEA-seattle-5441957-0-1,seattle,SEA,C,commercial,1.168,50.0,28.0,23.973,1.0,W<W_min,1.062,True,0.0,False
DC-096,SEA-seattle-5432169-0-1,seattle,SEA,A,residential,1.651,50.0,29.7,17.989,1.0,,1.155,True,3.0,False
DC-092,SEA-seattle-5441957-0-1,seattle,SEA,C,commercial,1.168,50.0,35.0,29.966,1.0,W<W_min,0.984,True,0.0,False
DC-094,SEA-seattle-5439807-0-1,seattle,SEA,C,residential,1.524,50.0,36.6,24.016,1.0,W<W_min,1.104,True,0.0,False
