W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.4,20,5,0.13333333333333333,0.8610691834522237,0.9952114461008179,0.14367158564814816,0.7473832241223658
2.4,20,6,0.13333333333333333,0.8381695051922107,0.968744325508927,0.15130208333333311,0.7369737939729473
2.4,20,8,0.0,0.8258856119377225,0.9545467773856343,0.13932407407407416,0.4738782205258027
2.4,20,10,0.0,0.85675372272702,0.9902236983199689,0.12082436342592584,0.3854631704083253
2.4,30,1,0.8,0.9435598514666574,1.080910307432826,0.20482638888888902,0.9814387116895521
2.4,30,2,0.3,0.8663130375823619,0.9924189656127033,0.2238885995370366,0.9151924595848704
2.4,30,3,0.2,0.8850489141807512,1.013882153244637,0.20917910879629625,0.8205009557624888
2.4,30,4,0.1,0.8063527366950651,0.9237304694191547,0.2662268518518519,0.7777039266722344
2.4,30,5,0.0,0.7842440813896839,0.8984035403791791,0.26180179398148157,0.5740103684941396
2.4,30,6,0.0,0.7861236227560741,0.9005566795075762,0.26185937500000006,0.5200723768495683
2.4,30,8,0.0,0.8639951882301068,0.9897637156547544,0.1874450231481484,0.3435315276070294
2.4,30,10,0.0,0.7604359515101187,0.8711297506481724,0.24432696759259234,0.3131063983910952
2.4,40,1,0.6333333333333333,0.9149360015910889,1.0332113898243764,0.28275983796296283,0.9384754639663317
2.4,40,2,0.1,0.8343967560333173,0.9422606941544703,0.30309027777777797,0.7679799791763889
2.4,40,3,0.0,0.8145710727015811,0.9198721098231303,0.302089699074074,0.6784029226854713
2.4,40,4,0.0,0.7738316613403904,0.8738662430084859,0.33014583333333364,0.5610767361274245
2.4,40,5,0.0,0.7111278167166979,0.8030565619616011,0.38470862268518535,0.4687931429136383
2.4,40,6,0.0,0.7444665780632526,0.840705083700821,0.3409337384259255,0.3792480052714301
2.4,40,8,0.0,0.70554748500181,0.7967548509383232,0.36550694444444465,0.3281495929955472
2.4,40,10,0.0,0.6532945104571406,0.7377470423507619,0.3580703125,0.29129653908877534
2.4,50,1,0.3,0.8346538156694313,0.9325688761362367,0.4025121527777783,0.8509537509493402
2.4,50,2,0.13333333333333333,0.7990385733777967,0.8927755320531087,0.3616388888888889,0.6566713958455339
2.4,50,3,0.0,0.6762784712146593,0.7556141744226681,0.42338686342592624,0.47255289482668134
2.4,50,4,0.0,0.6633491852410675,0.7411681256977055,0.43026128472222247,0.38752223016725984
2.4,50,5,0.0,0.6532490112834298,0.7298830782928721,0.4233634259259263,0.3849225036468231
2.4,50,6,0.0,0.5733927016306085,0.6406586506951989,0.5431718750000002,0.32249485309777864
2.4,50,8,0.0,0.5227410581120902,0.5840649523453838,0.6379765624999998,0.29648079638806973
2.4,50,10,0.0,0.4500563793315202,0.5028534752872528,0.589559317129629,0.2759902565765838
2.4,60,1,0.03333333333333333,0.7980253379833212,0.8679838423092792,0.48457812499999997,0.7154722719692734
2.4,60,2,0.0,0.5841158262496358,0.6353220569450322,0.6338750000000005,0.4659460665854807
2.4,60,3,0.0,0.5039895587346152,0.5481715590381069,0.7780630787037031,0.4102360615643334
2.4,60,4,0.0,0.46816104521119795,0.509202156248373,0.7321221064814818,0.36969990682706566
2.4,60,5,0.0,0.4375355715783505,0.475891915318484,0.8006357060185185,0.3396297264450421
2.4,60,6,0.0,0.41575636799099386,0.45220344840844595,0.8990787037037048,0.31856453541210744
2.4,60,8,0.0,0.4213584611616618,0.45829664636070516,0.9175983796296291,0.3254781757472875
2.4,60,10,0.0,0.3806659449727314,0.41403684047013256,0.8664421296296304,0.29921122603172406
2.7,10,1,0.8,0.9970702963620752,1.1877022249261617,0.05137499712972529,1.0074571719553171
2.7,10,2,0.9,0.9911480900495176,1.1806477397614146,0.05229744980670982,1.0206443374599805
2.7,10,3,0.9,0.9863088619110727,1.174883289603861,0.05265509259259336,1.019515996546287
2.7,10,4,0.8666666666666667,0.9741941354002183,1.1604523235187088,0.05490457818930106,1.0059513726637563
2.7,10,5,0.7666666666666667,0.9759597031932872,1.1625554538634166,0.054213220164609686,0.9835888259460497
2.7,10,6,0.8,0.9646016493698946,1.1490258302791074,0.055585905349794754,0.9627270322246968
2.7,10,8,0.7333333333333333,0.9646616188436218,1.1490972654403326,0.055608539094650765,0.9287115726081868
2.7,10,10,0.6,0.9459578306304911,1.1268174613419302,0.05613966049382789,0.8910514878672535
2.7,20,1,0.8666666666666667,0.9831620179687428,1.1555037534723658,0.10866769547324978,0.9861083828482139
2.7,20,2,0.7666666666666667,0.9586662974987071,1.1267140968035543,0.11346759259259104,0.987848442158736
2.7,20,3,0.7,0.9378443206372927,1.1022421664621158,0.11737654320987495,0.9987892363554488
2.7,20,4,0.7333333333333333,0.9311206318770096,1.0943398599676697,0.11904243827160353,0.9876361616650563
2.7,20,5,0.5333333333333333,0.9158700641578759,1.0764159695813715,0.11833230452674749,0.912879246243344
2.7,20,6,0.4,0.91831642680929,1.079291163267051,0.11866358024691209,0.8946058487883349
2.7,20,8,0.13333333333333333,0.8425454604811965,0.9902380525933595,0.1370056584362129,0.7871884797639533
2.7,20,10,0.1,0.8464770853367976,0.994858865027996,0.12965534979423726,0.6429067056509612
2.7,30,1,0.8333333333333334,0.9475896240272736,1.105494503980734,0.1766422325102867,0.9840197820153839
2.7,30,2,0.5333333333333333,0.9211142051861266,1.0746072619960818,0.1832417695473241,0.9625532905227552
2.7,30,3,0.5,0.9069590396928581,1.0580933014598322,0.1831486625514394,0.9215100430835127
2.7,30,4,0.3,0.8542269237150043,0.9965739866439555,0.2004670781892998,0.9277592246184226
2.7,30,5,0.13333333333333333,0.8561312659872226,0.9987956655883578,0.1869760802469126,0.8041892840941476
2.7,30,6,0.03333333333333333,0.8454640353575531,0.9863508640257617,0.2023428497942376,0.7329757752181377
2.7,30,8,0.0,0.8486836041172447,0.9901069367800204,0.20902700617283795,0.5024503244874828
2.7,30,10,0.0,0.7927743721344991,0.9248810762265597,0.2069889403292164,0.4499674561185867
2.7,40,1,0.7666666666666667,0.9211746717533952,1.0566205900736685,0.24867515432098744,0.9607617346221909
2.7,40,2,0.3,0.8655854330260472,0.9928577272563106,0.26806610082304533,0.9047454174976332
2.7,40,3,0.13333333333333333,0.8509572102756968,0.976078627886607,0.2613780864197529,0.8284197966795388
2.7,40,4,0.06666666666666667,0.8278325261562117,0.949553780722617,0.26720344650205724,0.7348425838864379
2.7,40,5,0.0,0.807411533593108,0.9261301653393957,0.28063888888888816,0.6034317821473791
2.7,40,6,0.0,0.7911347296568819,0.9074600838586787,0.2641134259259249,0.5458525942009719
2.7,40,8,0.0,0.8270512634883159,0.9486576442498421,0.27559645061728233,0.3848911636926238
2.7,40,10,0.0,0.8429213649838163,0.9668612233547546,0.2524094650205749,0.33572147031022126
2.7,50,1,0.5,0.9141036679383637,1.0308864537519067,0.3087530864197541,0.9135382470413077
2.7,50,2,0.03333333333333333,0.8259456674318345,0.9314656859554005,0.34752700617284,0.7259414653884246
2.7,50,3,0.06666666666666667,0.7795891406783929,0.8791868064920998,0.41173533950617275,0.6383546803016209
