cell_id,city,W,L,type,qp,x,qr_star,base_pass,base_pass_source
SIN-197634752-1,singapore,2.0,50.0,A,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-1,singapore,2.0,50.0,A,24,12.0,10.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-2,singapore,2.0,50.0,A,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-3,singapore,2.0,50.0,A,24,12.0,10.0,1.0,proxy(qr_star>0=>1)
SIN-200167221-1,singapore,2.0,50.0,A,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-200171267-2,singapore,2.0,50.0,A,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-200171268-0,singapore,2.0,50.0,A,24,12.0,10.0,1.0,proxy(qr_star>0=>1)
SIN-200171268-4,singapore,2.0,50.0,A,24,12.0,10.0,1.0,proxy(qr_star>0=>1)
SIN-546209379-1,singapore,3.0,50.0,A,36,12.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-546209379-2,singapore,3.0,50.0,A,36,12.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-877712256-0,singapore,1.5,50.0,B,8,5.333,0.0,,proxy(qr_star=0=>unknown)
SIN-139715353-1,singapore,1.8,50.0,B,9,5.0,18.0,1.0,proxy(qr_star>0=>1)
SIN-200171267-0,singapore,2.0,50.0,B,10,5.0,12.0,1.0,proxy(qr_star>0=>1)
SIN-877712256-0,singapore,1.5,50.0,B,18,12.0,0.0,,proxy(qr_star=0=>unknown)
SIN-139715353-1,singapore,1.8,50.0,B,22,12.222,8.0,1.0,proxy(qr_star>0=>1)
SIN-200171267-0,singapore,2.0,50.0,B,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-602848280-0,singapore,1.2,50.0,B,36,30.0,0.0,,proxy(qr_star=0=>unknown)
SIN-1105987650-1,singapore,2.5,50.0,B,50,20.0,6.0,1.0,proxy(qr_star>0=>1)
SIN-602848280-0,singapore,1.2,50.0,B,54,45.0,0.0,,proxy(qr_star=0=>unknown)
SIN-1105987650-1,singapore,2.5,50.0,B,88,35.2,0.0,,proxy(qr_star=0=>unknown)
SIN-546225147-8,singapore,1.5,50.0,C,8,5.333,0.0,,proxy(qr_star=0=>unknown)
SIN-641077845-0,singapore,1.5,50.0,C,8,5.333,0.0,,proxy(qr_star=0=>unknown)
SIN-1189801155-0,singapore,0.5,50.0,C,10,20.0,0.0,,proxy(qr_star=0=>unknown)
SIN-131164229-0,singapore,2.0,50.0,C,10,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-190681368-0,singapore,2.0,50.0,C,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-1189801155-0,singapore,0.5,50.0,C,18,36.0,0.0,,proxy(qr_star=0=>unknown)
SIN-546225147-8,singapore,1.5,50.0,C,18,12.0,0.0,,proxy(qr_star=0=>unknown)
SIN-641077845-0,singapore,1.5,50.0,C,18,12.0,0.0,,proxy(qr_star=0=>unknown)
SIN-131164229-0,singapore,2.0,50.0,C,24,12.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-190681368-0,singapore,2.0,50.0,C,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
SIN-546402626-0,singapore,1.5,50.0,C,45,30.0,0.0,,proxy(qr_star=0=>unknown)
SIN-546402626-0,singapore,1.5,50.0,C,68,45.333,0.0,,proxy(qr_star=0=>unknown)
SIN-546209379-0,singapore,3.0,50.0,D,15,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-1464509030-0,singapore,3.0,50.0,D,15,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-22811726-0,singapore,1.8,50.0,D,27,15.0,6.0,1.0,proxy(qr_star>0=>1)
