W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.1,20,15,0.1,0.822774860812892,1.0486244856038371,0.16771759259259417,1.0552777777777775
2.1,20,18,0.0,0.7850697087091116,1.0005693643153992,0.1687023809523832,1.0854545454545452
2.1,20,20,0.0,0.8000572873858565,1.019670995550001,0.15305588624338848,1.0787936849656927
2.1,30,1,1.0,0.9946115684748612,1.2021341231420977,0.20057341269841852,0.9991666666666666
2.1,30,2,1.0,0.9869696123414151,1.1928976970570306,0.20187731481482077,1.0000000000000002
2.1,30,3,1.0,0.9813779515867431,1.1861393539899647,0.20288392857143425,0.9988888888888889
2.1,30,4,1.0,0.9744042893806205,1.1777106592442346,0.20435945767196348,1.0002777777777778
2.1,30,5,0.9666666666666667,0.9582487898285652,1.1581843658614692,0.20814451058201577,1.0005555555555554
2.1,30,6,0.9666666666666667,0.9467654985292678,1.1443051221904612,0.21064748677249145,0.9972222222222222
2.1,30,8,0.9,0.9176887053903449,1.109161548224755,0.21552017195767617,1.0409722222222224
2.1,30,10,0.36666666666666664,0.8829948711875426,1.0672289553616174,0.23197255291005597,1.0457066276803118
2.1,40,1,0.9333333333333333,0.9625737027694169,1.103565726272446,0.3145965608465626,1.0265129056047197
2.1,40,2,0.9,0.9316384892981056,1.0680993082478942,0.3091378968254002,1.031650641025641
2.1,40,3,0.8,0.8877295676867679,1.0177588711172703,0.32760482804233054,1.0559200104826538
2.1,40,4,0.7666666666666667,0.8929496777723849,1.0237435916236397,0.32372288359788753,1.0425435923018698
2.1,40,5,0.6333333333333333,0.7857364275010303,0.9008263874019495,0.3892123015873039,1.407593346883755
2.1,40,6,0.5333333333333333,0.8579896787254265,0.9836628615686419,0.31859854497354845,1.1123790850937632
2.1,40,8,0.23333333333333334,0.649863458698521,0.7450515609487344,0.5238885582010627,1.5175418501921891
2.1,40,10,0.03333333333333333,0.5841976694064841,0.6697674406337631,0.5717731481481526,1.574435709243785
2.1,50,1,0.8,0.8935420662467561,0.9621582858327885,0.4457880291005374,1.0259657113029044
2.1,50,2,0.6666666666666666,0.8305505291521247,0.8943295493441743,0.4750234788359877,1.2055217414873058
2.1,50,3,0.36666666666666664,0.7012618362210569,0.7551126150025903,0.5794847883597919,1.537986513537572
2.1,50,4,0.2,0.6223764948743393,0.6701695690346438,0.732780092592595,1.8012864876135464
2.1,50,5,0.03333333333333333,0.38311253638471804,0.41253223011346984,0.959330687830689,2.4211042590954515
2.1,50,6,0.03333333333333333,0.37399919901931716,0.4027190681047228,0.9789983465608455,3.745653844813556
2.1,50,8,0.0,0.31196357589799917,0.33591965142623254,1.0669844576719554,3.170034773329667
2.1,50,10,0.0,0.32499684872477236,0.34995376567277564,1.1209540343915338,2.65910744869138
2.1,60,1,0.2,0.4608657036341591,0.4637742931602453,1.1006296296296318,1.9997866973344334
2.1,60,2,0.0,0.3123780969030483,0.31434955985563157,1.2211716269841275,2.820796747317901
2.1,60,3,0.03333333333333333,0.2570375320712521,0.25865973278546917,1.4560066137566123,6.019169802225635
2.1,60,4,0.0,0.21684188359432083,0.21821040380848697,1.4982681878306856,4.121646367006985
2.1,60,5,0.0,0.1728425265726918,0.1739333605368756,1.5829814814814729,5.3996680306873746
2.1,60,6,0.0,0.18515167049538786,0.18632018923152655,1.5690036375661423,3.506778465210543
2.1,60,8,0.03333333333333333,0.30746785461926174,0.30940832832885173,1.1438234126984115,4.002011134384901
2.1,60,10,0.0,0.2731421102139614,0.27486594922961544,1.0409712301587242,3.1524466891133556
2.4,10,1,1.0,0.9970546145059376,1.3193174134665158,0.05311313657407472,1.0074999999999998
2.4,10,2,1.0,0.9972496943800988,1.3195755460414553,0.05306973379629696,1.0083333333333333
2.4,10,3,1.0,0.9966602266745789,1.318795553654625,0.053105613425926575,1.01
2.4,10,4,1.0,0.9950406925751714,1.3166525621795693,0.05315567129629695,1.0074999999999998
2.4,10,5,1.0,0.9841425961960371,1.3022320398556715,0.05387471064814884,1.0066666666666666
2.4,10,6,1.0,0.9901072232520371,1.3101245225996723,0.05339033564814879,1.0074999999999998
